ESVId,Field_Control_2,Field_Control_1,Extraction_Blank_1,Extraction_Blank_2,EL_B,EL_M,EL_S,WQ_B,WQ_M,WQ_S,SL_B,SL_M,SL_S,PF_S,PF_B,HK_S,HR_B,BK_B,HR_M,BK_M,BK_S,HR_S,PB_S,RP_B,PB_B,PB_M,RP_S,RP_M
ESV_027153,0,0,0,0,4209,3269,21416,958,1756,30,4942,101,0,0,0,0,0,167,0,42,0,0,0,200,188,0,88,0
ESV_010025,0,0,0,0,3792,968,84,995,777,898,1580,1806,2359,306,14,0,204,317,903,616,656,2517,126,391,279,334,1490,549
ESV_011415,6338,5237,0,0,0,0,0,0,0,0,0,0,0,2562,125,763,1086,363,907,145,70,602,113,252,161,0,881,352
ESV_005946,0,0,0,0,0,193,18,43,110,548,54,755,217,0,0,328,118,420,136,345,174,0,268,1061,1487,133,3495,1311
ESV_000878,0,0,0,0,0,599,31,0,28,67,0,147,164,0,0,0,196,13,129,488,155,2721,28,64,65,599,361,341
ESV_027125,0,0,0,0,147,428,39,948,454,732,247,151,295,0,0,0,253,265,60,189,94,365,96,64,103,224,317,85
ESV_027151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5281,0,80,0,0,14,13,0,0,0,0,0,97,0
ESV_001067,0,0,0,0,0,0,117,0,0,47,120,840,523,0,12,0,339,61,0,352,270,407,237,147,23,204,427,228
ESV_024792,0,0,0,0,0,0,0,41,122,16,0,136,0,0,0,120,85,0,244,509,161,0,418,501,259,469,699,319
ESV_027148,0,0,0,0,423,96,24,31,19,74,0,67,89,0,0,0,222,116,63,67,29,148,0,1438,469,0,257,0
ESV_000129,0,0,0,0,265,0,0,0,65,85,0,76,66,0,0,0,860,11,506,56,34,778,0,0,124,218,0,0
ESV_002475,0,0,0,0,1716,0,0,29,0,0,0,135,0,0,0,442,0,68,0,0,0,0,118,100,85,0,154,210
ESV_000003,213,229,49,0,20,0,0,13,16,37,30,225,18,0,72,735,52,0,0,94,0,27,660,134,96,0,66,17
ESV_002585,0,0,0,0,0,68,11,78,101,298,103,242,0,0,0,0,229,13,160,0,0,275,65,49,27,0,320,59
ESV_027129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,348,224,267,0,0,0,82,313,537,248,0,51
ESV_027192,0,0,0,0,329,0,0,28,13,41,0,0,30,0,0,0,324,29,338,72,0,564,53,0,42,158,0,0
ESV_027189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,25,0,89,0,0,279,0,685,740,0,0
ESV_027128,0,0,0,0,164,207,32,0,92,119,31,12,0,0,0,0,0,30,0,0,45,58,65,38,34,133,479,55
ESV_027122,0,0,0,0,0,0,17,0,14,30,0,164,14,0,0,0,0,0,85,47,11,0,70,0,0,252,570,295
ESV_027138,0,0,0,0,0,64,52,0,92,62,39,387,388,0,0,0,35,13,0,0,0,41,28,0,0,123,41,18
ESV_027123,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,79,0,935,255
ESV_027126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242,23,381,0,0,114,0,78,71,0,249,61
ESV_027252,0,0,0,0,0,0,0,0,0,107,0,74,60,531,0,0,0,0,114,11,0,244,0,0,0,0,0,0
ESV_001712,0,0,0,0,0,0,0,27,34,0,0,0,0,0,0,218,223,0,112,24,0,443,0,0,0,0,0,23
ESV_005446,0,0,0,0,0,192,0,159,134,94,45,179,36,0,0,0,0,0,0,0,0,0,0,16,17,13,110,63
ESV_027124,0,0,0,0,0,0,0,63,10,0,0,54,14,0,30,0,25,75,113,0,22,156,20,32,125,40,95,121
ESV_027205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,968,0,0,0,0,0,0,0,0,0,13,0,0
ESV_027154,0,0,0,0,0,425,0,155,49,0,70,0,0,0,0,0,0,0,0,75,0,0,0,0,58,0,68,0
ESV_027356,0,0,0,0,0,55,8,46,233,44,60,352,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESV_027193,0,0,0,0,248,0,10,0,0,48,0,154,42,0,0,0,148,0,0,0,0,0,0,0,0,154,0,0
ESV_027162,306,0,0,0,0,0,0,0,0,0,0,0,0,226,15,30,39,12,45,0,44,0,0,0,12,0,45,0
ESV_027190,0,0,0,0,0,0,0,0,0,65,83,288,57,0,0,0,0,0,0,0,0,0,25,0,0,207,0,0
ESV_027216,0,0,0,0,0,65,0,0,0,0,13,42,0,0,19,0,100,0,223,0,0,151,18,0,44,0,0,0
ESV_027131,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,60,15,0,0,15,222,0,0,0,0,238,44
ESV_027195,0,0,0,0,0,84,16,0,61,189,0,79,12,0,0,0,0,0,0,0,0,0,71,0,0,95,0,0
ESV_027149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,0,0,250,0,0,27,0,139,0
ESV_004707,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,41,56,0,0,20,109,69,232,57
ESV_027377,0,0,0,0,0,0,0,44,0,0,545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESV_027133,0,0,0,0,0,0,0,0,0,17,0,164,0,0,0,0,0,0,0,0,0,0,17,0,91,176,0,39
ESV_027352,0,0,0,0,0,0,0,58,51,242,0,38,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESV_023862,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,161,0,0,0,0,0,159,42,59,0,0,0
ESV_027411,0,0,0,0,262,35,0,56,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESV_027308,0,307,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESV_000075,0,0,0,0,47,23,0,37,11,11,0,50,0,0,0,0,0,0,0,109,33,0,0,0,0,0,0,0
ESV_000862,0,0,0,0,0,0,0,30,129,8,0,0,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESV_027302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271,29,0,0,0,0,0,0,0,0,0,0
ESV_027150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,37,112,0
ESV_027310,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESV_027374,0,0,0,0,0,64,11,0,33,123,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESV_027199,0,0,0,0,0,0,0,0,0,8,0,138,25,0,0,0,0,0,0,0,0,0,24,0,0,39,0,0
ESV_027196,0,0,0,0,0,0,18,0,0,0,11,0,81,0,0,0,0,0,0,0,42,0,0,0,0,75,0,0
ESV_027333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,0,0,0,0,0,0,0,0,0,0,0,0
ESV_027215,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,55,0,0,0,0,0,0,0,63,0,0,0
ESV_027444,0,0,0,0,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESV_027378,0,0,0,0,0,0,0,0,0,0,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESV_027136,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,32,0,0,33,0,0,60,0,30,0,0,23
ESV_027316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,0,0,0,0,0,0,0,0,0,0,0
ESV_027152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,91,0
ESV_027363,0,0,0,0,0,0,0,0,0,0,0,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESV_027191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,0,0
ESV_027130,0,0,0,0,0,0,0,0,0,0,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
ESV_027319,0,0,0,0,0,0,0,0,0,77,0,18,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0
ESV_027353,0,0,0,0,0,0,14,0,0,103,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESV_027306,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,16,9,0,0,0,0,0,0,0,0,0,0
ESV_027379,0,0,0,0,0,0,0,0,0,0,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESV_027194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,0,0
ESV_023844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,54,0,0,0,0,0,0,36,0,0
ESV_027241,0,0,0,0,0,0,0,13,69,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0
ESV_027389,0,0,0,0,0,0,0,0,39,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESV_027155,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0
ESV_027282,0,0,0,0,0,0,0,0,0,0,0,22,9,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0
ESV_027253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,0,0,0,0,0,0
ESV_027445,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESV_027430,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESV_027273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0
ESV_027223,0,0,0,0,0,9,0,0,0,13,0,0,0,0,0,0,28,28,0,0,0,0,0,0,24,0,0,0
ESV_027301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
ESV_027380,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESV_027317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0
ESV_027318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0
ESV_027334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0
ESV_027311,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESV_027281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0
ESV_027309,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESV_027328,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,11,16,0,0,0,0,0,0,0,0,0,0,0
ESV_027446,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESV_027219,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0
ESV_015498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0
ESV_027161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,22,0,47,0
ESV_027351,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESV_027167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,20,0,23,0,23,0
ESV_027320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0
ESV_027390,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESV_027381,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESV_027447,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESV_027212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0
ESV_027335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0
ESV_027213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0
ESV_027214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0
ESV_027431,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESV_027424,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESV_027156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0
ESV_027157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0
ESV_000989,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0
ESV_027127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
ESV_027220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,32,0,0,0
ESV_027283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0
ESV_027158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0
ESV_027254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0
ESV_027197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0
ESV_027159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0
ESV_027344,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESV_027234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0
ESV_027432,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESV_027294,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,16,0,0,0,0,0,0,0,0,0
ESV_027433,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESV_027255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0
ESV_027160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0
ESV_027240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0
ESV_027165,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,12,25,0
ESV_027284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0
ESV_027198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0
ESV_027217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0
ESV_027391,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESV_027256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0
ESV_027163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0
ESV_010631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0
ESV_027218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0
ESV_027132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42
ESV_027415,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESV_027434,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESV_027435,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESV_027382,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESV_027359,0,0,0,0,0,0,0,0,0,0,28,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESV_027321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0
ESV_027257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,30,0,0,0,0,0,0
ESV_027285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0
ESV_027164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0
ESV_009945,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESV_027392,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESV_027134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37
ESV_027364,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESV_027393,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESV_027242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0
ESV_000787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0
ESV_027394,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESV_027322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0
ESV_027286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0
ESV_027270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0
ESV_027287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0
ESV_023095,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESV_027172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,20,0
ESV_027243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0
ESV_027416,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESV_027312,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESV_027221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0
ESV_027448,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESV_027336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0
ESV_027246,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0
ESV_027323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0
ESV_027222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0
ESV_027303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0
ESV_027235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0
ESV_027417,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESV_027436,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESV_027345,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESV_027365,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESV_027236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0
ESV_027304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0
ESV_027288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0
ESV_027166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0
ESV_027354,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESV_027258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0
ESV_027135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
